id,mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh2,tinhtrang,diachi_tinhtp,namkhoahoc
18947.0,0E7537AFXPvAibaEXe9UJtBa/m0OMr6cMlCqrcn6,2001.0,0.0,Đắk Lắk, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,1.0,Tỉnh Đắk Nông,2019
18948.0,5123356CXPvAibaEXe9UJtBa/m0OMtPKPCql2YTY,2001.0,1.0,Lâm Đồng, KTPM2019, CNPM, CQUI,14, D480103,1.0,Huyện Di Linh,2019
18949.0,F1FE5D4FXPvAibaEXe/N50hRf+Du8U1PcNWSN8sZ,2001.0,0.0,Tây Ninh, HTCL2019.2, HTTT, CLC,14, D480104,1.0,Tỉnh Tây Ninh,2019
18950.0,F7CD8361XPvAibaEXe/N50hRf+Du8SYr3oJdS5Xy,2001.0,1.0,Bến Tre, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,5.0,Huyện Thạnh Phú,2019
18951.0,4C7280B9XPvAibaEXe/N50hRf+Du8VQmAQ6R065m,2001.0,1.0,Thành phố Hồ Chí Minh, MMCL2019.2, MMT&TT, CLC,14,7480102,1.0,Huyện Duy Xuyên,2019
18952.0,D768DC92XPvAibaEXe/N50hRf+Du8RXGXyF+XbN6,2001.0,1.0,Hà Tĩnh, KHMT2019, KHMT, CQUI,14, D480101,1.0,Tỉnh Hà Tĩnh,2019
18953.0,66B669CCXPvAibaEXe/N50hRf+Du8SsrBlhwElZm,2001.0,1.0,Nghệ An, KHMT2019, KHMT, CQUI,14, D480101,1.0,Tỉnh Đồng Nai,2019
18954.0,1B4703D0XPvAibaEXe/N50hRf+Du8cb5iuALfqM2,2001.0,1.0,Cà Mau, KHCL2019.3, KHMT, CLC,14, D480101,1.0,Thành phố Cà Mau,2019
18955.0,865D73E2XPvAibaEXe/N50hRf+Du8dPbajFFA8tO,2001.0,1.0,Đồng Nai, KHMT2019, KHMT, CQUI,14, D480101,1.0, ấp 3',2019
18956.0,8BA476A8XPvAibaEXe/N50hRf+Du8SkBRvC5SjAu,2001.0,1.0,Lâm Đồng, TMCL2019.2, HTTT, CLC,14, D52480104,1.0,Tỉnh Lâm Đồng,2019
18957.0,E63C7011XPvAibaEXe/N50hRf+Du8XEuBRsCIogL,2001.0,0.0,Bến Tre, CNTT2019, KTTT, CQUI,14, D480201,1.0,Tỉnh Bến Tre,2019
18958.0,F272C6E2XPvAibaEXe/N50hRf+Du8Wfgo7CelReA,2001.0,0.0,Lâm Đồng, KHDL2019, KTTT, CQUI,14,7480109,1.0,Tỉnh Lâm Đồng,2019
18959.0,2B76A9CEXPvAibaEXe/k5cHhyiupXKT8MC4ImRT8,2001.0,1.0,Đắk Lắk, MMTT2019, MMT&TT, CQUI,14,7480102,1.0,Tỉnh Đắk Nông,2019
